symbol,trade_date,close,trade_volume,share_volume,intraday_volatility,share_volume_5d,share_volume_20d,volume_ratio_5d_20d,trade_density,momentum_5d,momentum_20d,momentum_60d
MADU.N0000,2026-01-06,12.0,8,2143,2.500000000000006,18249.333333333332,18249.333333333332,1.0,267.875,0.0,0.0,0.0
EML.N0000,2026-01-06,4.8,40,173206,4.1666666666666705,106029.66666666667,106029.66666666667,1.0,4330.15,0.0,0.0,0.0
LWL.N0000,2026-01-06,52.3,51,29158,3.6328871892925405,44933.0,44933.0,1.0,571.7254901960785,0.0,0.0,0.0
ETWO.N0000,2026-01-06,79.2,19,11441,4.040404040404043,21612.0,21612.0,1.0,602.1578947368421,0.0,0.0,0.0
LVEN.N0000,2026-01-06,70.0,38,23851,6.9999999999999885,21894.333333333332,21894.333333333332,1.0,627.6578947368421,0.0,0.0,0.0
EXT.N0000,2026-01-06,7.0,30,80164,7.142857142857142,56849.0,56849.0,1.0,2672.133333333333,0.0,0.0,0.0
LVEF.N0000,2026-01-06,10.2,355,2720285,5.8823529411764675,3491026.6666666665,3491026.6666666665,1.0,7662.774647887324,0.0,0.0,0.0
FCT.N0000,2026-01-06,37.6,359,343458,1.5957446808510676,357764.0,357764.0,1.0,956.7075208913649,0.0,0.0,0.0
EMER.N0000,2026-01-06,11.5,155,477617,7.826086956521743,415432.0,415432.0,1.0,3081.4,0.0,0.0,0.0
LHL.N0000,2026-01-06,84.4,14,2217,2.9620853080568716,1499.3333333333333,1499.3333333333333,1.0,158.35714285714286,0.0,0.0,0.0
HBS.N0000,2026-01-06,18.7,374,2232266,8.556149732620309,1364939.3333333333,1364939.3333333333,1.0,5968.625668449198,0.0,0.0,0.0
LHCL.N0000,2026-01-06,104.25,27,5247,2.877697841726619,5459.333333333333,5459.333333333333,1.0,194.33333333333334,0.0,0.0,0.0
HSIG.N0000,2026-01-06,98.2,40,7561,1.0183299389002036,6096.0,6096.0,1.0,189.025,0.0,0.0,0.0
KPHL.N0000,2026-01-06,11.2,26,46348,3.5714285714285747,78452.66666666667,78452.66666666667,1.0,1782.6153846153845,0.0,0.0,0.0
HUNA.N0000,2026-01-06,19.8,44,167030,4.040404040404043,74450.33333333333,74450.33333333333,1.0,3796.1363636363635,0.0,0.0,0.0
KOTA.N0000,2026-01-06,9.8,126,521016,4.081632653061227,385958.3333333333,385958.3333333333,1.0,4135.047619047619,0.0,0.0,0.0
HUNT.N0000,2026-01-06,1253.25,13,194,4.747656094155197,107.0,107.0,1.0,14.923076923076923,0.0,0.0,0.0
KHL.N0000,2026-01-06,22.9,138,492760,4.366812227074236,333365.6666666667,333365.6666666667,1.0,3570.7246376811595,0.0,0.0,0.0
HVA.N0000,2026-01-06,3.5,15,25132,5.71428571428572,60059.333333333336,60059.333333333336,1.0,1675.4666666666667,0.0,0.0,0.0
KHC.N0000,2026-01-06,18.1,44,73411,6.07734806629833,50658.333333333336,50658.333333333336,1.0,1668.4318181818182,0.0,0.0,0.0
KVAL.N0000,2026-01-06,92.3,22,1938,0.5417118093174431,5208.333333333333,5208.333333333333,1.0,88.0909090909091,0.0,0.0,0.0
INME.N0000,2026-01-06,1816.75,43,203,6.054768129902298,80.66666666666667,80.66666666666667,1.0,4.72093023255814,0.0,0.0,0.0
JAT.N0000,2026-01-06,48.9,259,455472,3.476482617586918,521123.6666666667,521123.6666666667,1.0,1758.5791505791506,0.0,0.0,0.0
KFP.N0000,2026-01-06,171.0,3,28,0.5847953216374269,23.333333333333332,23.333333333333332,1.0,9.333333333333334,0.0,0.0,0.0
JETS.N0000,2026-01-06,19.8,179,263059,4.545454545454538,639872.6666666666,639872.6666666666,1.0,1469.6033519553073,0.0,0.0,0.0
KCAB.N0000,2026-01-06,143.75,328,294298,4.173913043478262,1056358.3333333333,1056358.3333333333,1.0,897.25,0.0,0.0,0.0
JFP.N0000,2026-01-06,16.4,713,3118093,9.75609756097561,2224152.0,2224152.0,1.0,4373.201963534362,0.0,0.0,0.0
KAHA.N0000,2026-01-06,20.7,40,7311,4.830917874396135,6745.333333333333,6745.333333333333,1.0,182.775,0.0,0.0,0.0
JINS.N0000,2026-01-06,133.75,109,31112,1.3084112149532712,48301.0,48301.0,1.0,285.43119266055044,0.0,0.0,0.0
JKL.N0000,2026-01-06,82.5,11,254,2.30303030303031,1776.6666666666667,1776.6666666666667,1.0,23.09090909090909,0.0,0.0,0.0
KGAL.N0000,2026-01-06,142.5,6,401,3.1578947368421053,462.0,462.0,1.0,66.83333333333333,0.0,0.0,0.0
EAST.N0000,2026-01-06,72.2,171,304691,4.1551246537396125,560985.6666666666,560985.6666666666,1.0,1781.8187134502923,0.0,0.0,0.0
HPL.N0000,2026-01-06,26.3,50,10951,2.281368821292781,20922.333333333332,20922.333333333332,1.0,219.02,0.0,0.0,0.0
HPFL.N0000,2026-01-06,14.2,16,27020,1.4084507042253471,37059.0,37059.0,1.0,1688.75,0.0,0.0,0.0
HDFC.N0000,2026-01-06,61.1,426,1116338,7.855973813420618,409629.3333333333,409629.3333333333,1.0,2620.5117370892017,0.0,0.0,0.0
LGL.X0000,2026-01-06,63.0,103,330293,6.6666666666666705,606674.6666666666,606674.6666666666,1.0,3206.7281553398057,0.0,0.0,0.0
HELA.N0000,2026-01-06,3.2,88,302743,3.124999999999989,1241787.0,1241787.0,1.0,3440.2613636363635,0.0,0.0,0.0
LGL.N0000,2026-01-06,78.0,564,2318884,3.8461538461538463,2413025.0,2413025.0,1.0,4111.49645390071,0.0,0.0,0.0
HEXP.N0000,2026-01-06,106.0,297,195535,4.952830188679245,263205.3333333333,263205.3333333333,1.0,658.3670033670033,0.0,0.0,0.0
LGIL.N0000,2026-01-06,8.4,23,21221,3.5714285714285796,61248.666666666664,61248.666666666664,1.0,922.6521739130435,0.0,0.0,0.0
HHL.N0000,2026-01-06,35.5,523,1481241,3.380281690140853,1232016.0,1232016.0,1.0,2832.2007648183558,0.0,0.0,0.0
