symbol,price,date,time,timestamp
PKME.N0000,161.0,2026-02-10,15:45:27,2026-02-10 15:45:27
PINS.N0000,31.3,2026-02-10,15:45:27,2026-02-10 15:45:27
PHAR.N0000,142.75,2026-02-10,15:45:27,2026-02-10 15:45:27
PEG.N0000,41.6,2026-02-10,15:45:27,2026-02-10 15:45:27
PARQ.N0000,84.3,2026-02-10,15:45:27,2026-02-10 15:45:27
PARA.N0000,655.25,2026-02-10,15:45:27,2026-02-10 15:45:27
PAP.N0000,23.3,2026-02-10,15:45:27,2026-02-10 15:45:27
PALM.N0000,73.6,2026-02-10,15:45:27,2026-02-10 15:45:27
PACK.N0000,14.7,2026-02-10,15:45:27,2026-02-10 15:45:27
PABC.N0000,60.6,2026-02-10,15:45:27,2026-02-10 15:45:27
OSEA.N0000,45.9,2026-02-10,15:45:27,2026-02-10 15:45:27
ONAL.N0000,45.5,2026-02-10,15:45:27,2026-02-10 15:45:27
OFEQ.N0000,512.5,2026-02-10,15:45:27,2026-02-10 15:45:27
ODEL.N0000,12.0,2026-02-10,15:45:27,2026-02-10 15:45:27
NTB.X0000,429.0,2026-02-10,15:45:27,2026-02-10 15:45:27
NTB.N0000,341.25,2026-02-10,15:45:27,2026-02-10 15:45:27
NHL.N0000,12.6,2026-02-10,15:45:27,2026-02-10 15:45:27
NEH.N0000,4500.0,2026-02-10,15:45:27,2026-02-10 15:45:27
NDB.N0000,147.25,2026-02-10,15:45:27,2026-02-10 15:45:27
NAMU.N0000,868.75,2026-02-10,15:45:27,2026-02-10 15:45:27
MULL.N0000,2.4,2026-02-10,15:45:27,2026-02-10 15:45:27
MSL.N0000,369.75,2026-02-10,15:45:27,2026-02-10 15:45:27
MRH.N0000,17.3,2026-02-10,15:45:27,2026-02-10 15:45:27
MHDL.N0000,11.0,2026-02-10,15:45:27,2026-02-10 15:45:27
MGT.N0000,39.5,2026-02-10,15:45:27,2026-02-10 15:45:27
MFPE.N0000,13.6,2026-02-10,15:45:27,2026-02-10 15:45:27
MERC.N0000,34.5,2026-02-10,15:45:27,2026-02-10 15:45:27
MELS.N0000,182.0,2026-02-10,15:45:27,2026-02-10 15:45:27
MEL.N0000,7.3,2026-02-10,15:45:27,2026-02-10 15:45:27
MDL.N0000,23.5,2026-02-10,15:45:27,2026-02-10 15:45:27
MCPL.N0000,56.4,2026-02-10,15:45:27,2026-02-10 15:45:27
MBSL.N0000,12.2,2026-02-10,15:45:27,2026-02-10 15:45:27
MASK.N0000,75.2,2026-02-10,15:45:27,2026-02-10 15:45:27
MARA.N0000,6.8,2026-02-10,15:45:27,2026-02-10 15:45:27
MAL.X0000,39.2,2026-02-10,15:45:27,2026-02-10 15:45:27
MAL.N0000,57.5,2026-02-10,15:45:27,2026-02-10 15:45:27
