symbol,rank,dimension7_v2_score,c1_trading_activity,c2_volatility_adj,c3_market_recognition,c4_volume_trends,c5_momentum,trade_volume_score,share_volume_score,trade_density_class,volatility_level,volume_trend,volume_ratio,momentum_confluence,momentum_5d_pct,momentum_20d_pct,momentum_60d_pct,momentum_5d_score,momentum_20d_score,momentum_60d_score,phase,components_active,metrics_available,scoring_date
AMSL.N0000,120,68.8,62.0,45.0,50.0,95.0,95.0,62.0,62.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AFS.N0000,121,68.8,62.0,45.0,50.0,95.0,95.0,62.0,62.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MULL.N0000,122,68.3,62.0,40.0,50.0,95.0,95.0,62.0,62.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KHC.N0000,123,68.3,62.0,40.0,50.0,95.0,95.0,62.0,62.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CITW.N0000,124,68.1,59.5,45.0,50.0,95.0,95.0,37.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CALF.N0000,125,67.6,59.5,40.0,50.0,95.0,95.0,82.0,37.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ASPH.N0000,126,67.6,59.5,40.0,50.0,95.0,95.0,37.0,82.0,mixed,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AUTO.N0000,127,67.6,59.5,40.0,50.0,95.0,95.0,82.0,37.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CPRT.N0000,128,67.6,59.5,40.0,50.0,95.0,95.0,82.0,37.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SEMB.N0000,129,67.6,59.5,40.0,50.0,95.0,95.0,37.0,82.0,institutional,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SIL.N0000,130,67.6,59.5,40.0,50.0,95.0,95.0,82.0,37.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TESS.X0000,131,67.6,59.5,40.0,50.0,95.0,95.0,37.0,82.0,institutional,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
OFEQ.N0000,132,67.6,59.5,40.0,50.0,95.0,95.0,82.0,37.0,retail,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SEMB.X0000,133,67.6,59.5,40.0,50.0,95.0,95.0,37.0,82.0,institutional,very_high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CCS.N0000,134,66.6,49.5,60.0,50.0,95.0,95.0,62.0,37.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ASIR.N0000,135,66.6,49.5,60.0,50.0,95.0,95.0,37.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LOLC.N0000,136,66.6,49.5,60.0,50.0,95.0,95.0,62.0,37.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
WIND.N0000,137,66.6,49.5,60.0,50.0,95.0,95.0,62.0,37.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
NAMU.N0000,138,66.6,49.5,60.0,50.0,95.0,95.0,62.0,37.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LLUB.N0000,139,66.6,49.5,60.0,50.0,95.0,95.0,62.0,37.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
RHL.N0000,140,66.6,49.5,60.0,50.0,95.0,95.0,37.0,62.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
GRAN.N0000,141,66.6,49.5,60.0,50.0,95.0,95.0,62.0,37.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
